"country","north","south","east","west"
"Uruguay","-30.082224","-34.980816","-53.073933","-58.442722"
"Uzbekistan","45.575001","37.184444","73.132278","55.996639"
"Vatican City","41.90743830885576","41.90027960306854","12.45837546629481","12.44570678169205"
"Saint Vincent and the Grenadines","13.377834","12.583984810969037","-61.11388","-61.46090317727658"
"Venezuela","12.201903","0.626311","-59.80378","-73.354073"
"British Virgin Islands","18.757221","18.383710898211305","-64.268768","-64.71312752730364"
"U.S. Virgin Islands","18.415382","17.673931","-64.565193","-65.101333"
"Vietnam","23.388834","8.559611","109.464638","102.148224"
"Vanuatu","-13.073444","-20.248945","169.904785","166.524979"
"Wallis and Futuna","-13.216758181061444","-14.314559989820843","-176.16174317718253","-178.1848112896414"
"Samoa","-13.432207","-14.040939","-171.415741","-172.798599"
"Kosovo","43.2682495807952","41.856369601859925","21.80335088694943","19.977481504492914"
"Yemen","18.9999989031009","12.1110910264462","54.5305388163283","42.5325394314234"
"Mayotte","-12.648891","-13.000132","45.29295","45.03796"
"South Africa","-22.126612","-34.839828","32.895973","16.458021"
"Zambia","-8.22436","-18.079473","33.705704","21.999371"
"Zimbabwe","-15.608835","-22.417738","33.056305","25.237028"
